word,value,o_str
reputable,100,18+5+16+21+20+1+2+12+5
outset,100,15+21+20+19+5+20
long-lived,100,12+15+14+7+0+12+9+22+5+4
cathode ray,100,3+1+20+8+15+4+5+0+18+1+25
nostalgic,100,14+15+19+20+1+12+7+9+3
affectation,100,1+6+6+5+3+20+1+20+9+15+14
quicklime,100,17+21+9+3+11+12+9+13+5
redeploy,100,18+5+4+5+16+12+15+25
in-group,100,9+14+0+7+18+15+21+16
misdirect,100,13+9+19+4+9+18+5+3+20
pitch-pine,100,16+9+20+3+8+0+16+9+14+5
turn off,100,20+21+18+14+0+15+6+6
boycott,100,2+15+25+3+15+20+20
discommode,100,4+9+19+3+15+13+13+15+4+5
obscenely,100,15+2+19+3+5+14+5+12+25
restore,100,18+5+19+20+15+18+5
knot-hole,100,11+14+15+20+0+8+15+12+5
savory,100,19+1+22+15+18+25
malted milk,100,13+1+12+20+5+4+0+13+9+12+11
personage,100,16+5+18+19+15+14+1+7+5
sales talk,100,19+1+12+5+19+0+20+1+12+11
matchless,100,13+1+20+3+8+12+5+19+19
striker,100,19+20+18+9+11+5+18
post-date,100,16+15+19+20+0+4+1+20+5
temperance,100,20+5+13+16+5+18+1+14+3+5
man-at-arms,100,13+1+14+0+1+20+0+1+18+13+19
healthily,100,8+5+1+12+20+8+9+12+25
unkempt,100,21+14+11+5+13+16+20
unfreeze,100,21+14+6+18+5+5+26+5
roomful,100,18+15+15+13+6+21+12
boundary,100,2+15+21+14+4+1+18+25
swollen,100,19+23+15+12+12+5+14
thalidomide,100,20+8+1+12+9+4+15+13+9+4+5
phagocyte,100,16+8+1+7+15+3+25+20+5
broad jump,100,2+18+15+1+4+0+10+21+13+16
Roman candle,100,18+15+13+1+14+0+3+1+14+4+12+5
semaphore,100,19+5+13+1+16+8+15+18+5
goings-on,100,7+15+9+14+7+19+0+15+14
innately,100,9+14+14+1+20+5+12+25
landing-net,100,12+1+14+4+9+14+7+0+14+5+20
snobbery,100,19+14+15+2+2+5+18+25
sucrose,100,19+21+3+18+15+19+5
delivery,100,4+5+12+9+22+5+18+25
inapplicable,100,9+14+1+16+16+12+9+3+1+2+12+5
coat-tails,100,3+15+1+20+0+20+1+9+12+19
lightning,100,12+9+7+8+20+14+9+14+7
tail-spin,100,20+1+9+12+0+19+16+9+14
ornament,100,15+18+14+1+13+5+14+20
putter,100,16+21+20+20+5+18
pilaster,100,16+9+12+1+19+20+5+18
spirited,100,19+16+9+18+9+20+5+4
benediction,100,2+5+14+5+4+9+3+20+9+15+14
bring sb on,100,2+18+9+14+7+0+19+2+0+15+14
